date,time,open,high,low,close,vol
20090219,0,17450,18400,17250,17850,2809979
20090218,0,18000,18100,17200,17350,3700742
20090217,0,19700,19950,17700,18200,2658968
20090216,0,20500,20750,20000,20150,1393273
20090213,0,20300,20750,20000,20450,1897274
20090212,0,21200,21450,20150,20400,2797955
20090211,0,21100,21800,20950,21550,1272879
20090210,0,22450,22750,22000,22150,1102075
20090209,0,22900,23200,22100,22350,1656477
20090206,0,22250,22500,21300,22050,1941297
20090205,0,22700,22850,21350,21550,2121411
20090204,0,23500,23600,22400,22900,2465697
20090203,0,22500,23550,22300,23100,1971483
20090202,0,22600,23600,22000,22500,1322809
20090130,0,22200,23950,22100,23150,2094416
20090129,0,23100,23950,22700,22750,3073683
20090128,0,20900,23000,20600,22400,2222510
20090123,0,19500,20400,19350,20000,1366533
20090122,0,20500,20800,19800,20050,2607603
20090121,0,18700,19900,18200,19250,2393777
20090120,0,20850,20850,19900,19900,1824199
20090119,0,20950,21950,20800,21300,1417578
20090116,0,20300,20950,19400,20950,2704581
20090115,0,21350,21350,20050,20500,1918197
20090114,0,21700,22700,21050,22500,2037416
20090113,0,20700,22100,20000,21700,1883065
20090112,0,21450,22000,20450,20850,1487943
20090109,0,23300,24200,21350,21450,3659748
20090108,0,21900,23100,21500,22600,3123522
20090107,0,21100,23050,20800,22450,3830025
20090106,0,20800,21400,20400,20750,2771001
20090105,0,19700,21550,19650,21000,5606472
20090102,0,19200,19250,17950,19050,3431888
20081230,0,19300,19950,19150,19500,1412407
20081229,0,19100,19850,18800,19000,913124
20081226,0,19700,20050,19050,19450,1228399
20081224,0,20000,20100,19100,19700,1794801
20081223,0,20900,21200,19550,20450,2333689
20081222,0,22000,22400,21300,21350,1720694
20081219,0,21950,22450,21300,21850,1855666
20081218,0,22250,23400,21150,21500,4407929
20081217,0,22050,23100,21500,21900,5843497
20081216,0,19250,20900,18550,20550,3890354
20081215,0,19750,20700,19350,19350,2976893
20081212,0,20650,21050,18750,19000,4722584
20081211,0,21500,22000,20400,21900,7785691
20081210,0,18000,20850,17600,20850,4920871
20081209,0,18800,18800,17650,18150,3863388
20081208,0,18450,19550,18000,18800,3373639
20081205,0,17150,18450,16600,18000,2765406
20081204,0,18550,19100,16300,17050,3622126
20081203,0,17500,18150,17300,17900,3211719
20081202,0,15400,17300,15300,16900,3499137
20081201,0,17800,18300,16850,16850,2739251
20081128,0,16600,17800,16100,17500,4363963
20081127,0,16000,16950,15050,16450,9950526
20081126,0,13450,14850,13300,14850,6657120
20081125,0,13500,14200,12700,12950,6337208
20081124,0,13350,13900,12400,12450,4842741
20081121,0,12700,14650,12050,13500,9894181
20081120,0,15000,15300,13900,13900,4136989
20081119,0,17200,17600,16300,16300,3971849
20081118,0,16050,17400,15400,17400,9940310
20081117,0,15250,16700,15100,16500,11516079
20081114,0,17650,17850,14550,14550,11787648
20081113,0,17950,18800,16850,16850,3605439
20081112,0,21800,21800,19200,19800,4808313
20081111,0,23300,23850,22150,22350,1674146
20081110,0,23000,24850,21850,24000,8443549
20081107,0,19250,23000,18500,23000,3414387
20081106,0,22150,22600,20150,20150,3115678
20081105,0,23900,24600,22850,23600,3419158
20081104,0,21400,23200,21000,22850,4766629
20081103,0,18900,22900,18700,20900,4385932
20081031,0,22100,22100,19350,20000,3886224
20081030,0,20000,21100,16850,21100,6117092
20081029,0,22350,23100,18350,18350,4090792
20081028,0,21350,22400,20400,21550,2746642
20081027,0,19550,22450,19300,22400,2636400
20081024,0,20600,20900,19050,19550,5737950
20081023,0,21100,22100,19800,19800,3411334
20081022,0,22700,24750,21500,23200,3020720
20081021,0,22700,23750,22150,23000,2431456
20081020,0,21600,23300,20650,22000,4354093
20081017,0,25050,25100,20300,20300,4993617
20081016,0,25400,25900,23850,23850,4469806
20081015,0,29100,29450,27900,28000,5011302
20081014,0,28700,30550,28600,30300,3756115
20081013,0,25250,27500,25050,27450,3846582
20081010,0,23500,24500,22250,23950,3989161
